chuva,deviceid,distancia,timestamp,varaltura,volume,alagamento
1,1,49,2023-04-27 20:29:43.136,3,0,0
1,1,52,2023-04-27 20:30:44.201,0,0,0
1,1,52,2023-04-27 20:31:46.275,0,0,0
1,1,51,2023-04-27 20:32:49.33,1,0,0
1,1,51,2023-04-27 20:33:52.397,1,0,0
1,1,51,2023-04-27 20:34:53.46,1,0,0
1,1,52,2023-04-27 20:35:56.518,0,0,0
1,1,52,2023-04-27 20:36:58.593,0,0,0
1,1,48,2023-04-27 20:38:00.648,4,0,0
1,1,51,2023-04-27 20:39:03.714,1,0,0
1,1,52,2023-04-27 20:40:06.785,0,0,0
1,1,50,2023-04-27 20:41:07.833,2,0,0
1,1,50,2023-04-27 20:42:10.91,2,0,0
1,1,52,2023-04-27 20:43:13.966,0,0,0
1,1,53,2023-04-27 20:44:16.036,-1,0,0
1,1,51,2023-04-27 20:45:19.103,1,0,0
1,1,51,2023-04-27 20:46:20.153,1,0,0
1,1,46,2023-04-27 20:47:22.229,6,0,0
1,1,50,2023-04-27 20:48:25.294,2,0,0
1,1,50,2023-04-27 20:49:27.354,2,0,0
1,1,52,2023-04-27 20:50:29.414,0,0,0
1,1,51,2023-04-27 20:51:32.475,1,0,0
1,1,50,2023-04-27 20:52:34.546,2,0,0
1,1,51,2023-04-27 20:53:36.602,1,0,0
1,1,54,2023-04-27 20:54:39.665,-2,0,0
1,1,52,2023-04-27 20:55:41.729,0,0,0
1,1,52,2023-04-27 20:56:43.788,0,0,0
1,1,52,2023-04-27 20:57:46.864,0,0,0
1,1,52,2023-04-27 20:59:50.988,0,0,0
1,1,50,2023-04-27 21:00:54.044,2,0,0
1,1,52,2023-04-27 21:01:57.114,0,0,0
1,1,50,2023-04-27 21:02:58.184,2,0,0
1,1,51,2023-04-27 21:04:01.242,1,0,0
1,1,50,2023-04-27 21:05:04.299,2,0,0
1,1,48,2023-04-27 21:06:05.375,4,0,0
1,1,51,2023-04-27 21:07:08.435,1,0,0
1,1,50,2023-04-27 21:08:11.496,2,0,0
1,1,52,2023-04-27 21:09:12.562,0,0,0
1,1,51,2023-04-27 21:10:15.627,1,0,0
1,1,54,2023-04-27 21:11:18.695,-2,0,0
0,1,52,2023-04-27 21:12:09.734,0,0,0
0,1,52,2023-04-27 21:12:12.751,0,0,0
0,1,51,2023-04-27 21:12:15.755,1,0,0
0,1,53,2023-04-27 21:12:18.747,-1,0,0
0,1,52,2023-04-27 21:12:20.755,0,0,0
0,1,51,2023-04-27 21:12:23.762,1,0,0
0,1,51,2023-04-27 21:12:26.77,1,0,0
0,1,52,2023-04-27 21:12:28.764,0,0,0
0,1,52,2023-04-27 21:12:31.765,0,0,0
0,1,51,2023-04-27 21:12:34.773,1,0,0
0,1,50,2023-04-27 21:12:37.774,2,0,0
0,1,50,2023-04-27 21:12:39.781,2,0,0
0,1,52,2023-04-27 21:12:42.784,0,0,0
0,1,51,2023-04-27 21:12:45.784,1,0,0
0,1,52,2023-04-27 21:12:47.797,0,0,0
0,1,52,2023-04-27 21:12:50.796,0,0,0
0,1,52,2023-04-27 21:12:53.8,0,0,0
0,1,51,2023-04-27 21:12:56.811,1,0,0
0,1,53,2023-04-27 21:12:58.815,-1,0,0
0,1,52,2023-04-27 21:13:01.808,0,0,0
0,1,51,2023-04-27 21:13:04.817,1,0.25,0
0,1,54,2023-04-27 21:13:07.819,-2,0.25,0
0,1,49,2023-04-27 21:13:09.826,3,0.25,0
0,1,49,2023-04-27 21:13:12.827,3,0.25,0
0,1,50,2023-04-27 21:13:15.837,2,0.25,0
0,1,51,2023-04-27 21:13:17.827,1,0.25,0
0,1,50,2023-04-27 21:13:20.843,2,0.5,0
0,1,48,2023-04-27 21:13:23.836,4,0.75,0
0,1,49,2023-04-27 21:13:26.839,3,1,0
0,1,49,2023-04-27 21:13:28.843,3,1,0
0,1,49,2023-04-27 21:13:31.852,3,1.25,0
0,1,51,2023-04-27 21:13:34.864,1,1.25,0
0,1,49,2023-04-27 21:13:36.858,3,1.25,0
0,1,50,2023-04-27 21:13:39.868,2,1.25,0
0,1,50,2023-04-27 21:13:42.875,2,1.25,0
0,1,48,2023-04-27 21:13:45.871,4,1.25,0
0,1,52,2023-04-27 21:13:47.869,0,1.25,0
0,1,47,2023-04-27 21:13:50.884,5,1.25,0
0,1,49,2023-04-27 21:13:53.891,3,1.25,0
0,1,53,2023-04-27 21:13:56.887,-1,1.25,0
0,1,51,2023-04-27 21:13:58.895,1,1.25,0
0,1,50,2023-04-27 21:14:01.896,2,1.25,0
0,1,51,2023-04-27 21:14:04.906,1,1.25,0
0,1,51,2023-04-27 21:14:06.904,1,1.25,0
0,1,50,2023-04-27 21:14:09.912,2,1.25,0
0,1,51,2023-04-27 21:14:12.916,1,1.25,0
0,1,50,2023-04-27 21:14:15.918,2,1.25,0
0,1,51,2023-04-27 21:14:17.918,1,1.25,0
0,1,50,2023-04-27 21:14:20.926,2,1.25,0
0,1,49,2023-04-27 21:14:23.918,3,1.25,0
0,1,51,2023-04-27 21:14:25.919,1,1.25,0
0,1,49,2023-04-27 21:14:28.928,3,1.25,0
0,1,50,2023-04-27 21:14:31.938,2,1.25,0
0,1,50,2023-04-27 21:14:34.945,2,1.25,0
0,1,51,2023-04-27 21:14:36.947,1,1.25,0
0,1,49,2023-04-27 21:14:39.938,3,1.25,0
0,1,50,2023-04-27 21:14:42.957,2,1.25,0
0,1,50,2023-04-27 21:14:44.95,2,1.25,0
0,1,49,2023-04-27 21:14:47.958,3,1.25,0
0,1,48,2023-04-27 21:14:50.958,4,1.25,0
0,1,49,2023-04-27 21:14:53.967,3,1.25,0
0,1,51,2023-04-27 21:14:55.974,1,1.25,0
0,1,49,2023-04-27 21:14:58.979,3,1.25,0
0,1,50,2023-04-27 21:15:01.973,2,1.25,0
0,1,51,2023-04-27 21:15:04.987,1,1.25,0
0,1,51,2023-04-27 21:15:06.989,1,1.25,0
0,1,51,2023-04-27 21:15:09.993,1,1.25,0
0,1,50,2023-04-27 21:15:12.985,2,1.25,0
0,1,51,2023-04-27 21:15:15.0,1,1.25,0
0,1,50,2023-04-27 21:15:18.001,2,1.25,0
0,1,50,2023-04-27 21:15:21.003,2,1.25,0
0,1,49,2023-04-27 21:15:23.999,3,1.25,0
0,1,48,2023-04-27 21:15:26.016,4,1.25,0
0,1,49,2023-04-27 21:15:29.019,3,1.25,0
0,1,50,2023-04-27 21:15:32.02,2,1.25,0
0,1,51,2023-04-27 21:15:34.027,1,1.25,0
0,1,52,2023-04-27 21:15:37.021,0,1.25,0
0,1,51,2023-04-27 21:15:40.021,1,1.25,0
0,1,50,2023-04-27 21:15:43.029,2,1.25,0
0,1,51,2023-04-27 21:15:45.042,1,1.25,0
0,1,50,2023-04-27 21:15:48.035,2,1.25,0
0,1,47,2023-04-27 21:15:51.05,5,1.25,0
0,1,50,2023-04-27 21:15:54.041,2,1.25,0
0,1,49,2023-04-27 21:15:56.05,3,1.25,0
0,1,50,2023-04-27 21:15:59.057,2,1.25,0
0,1,52,2023-04-27 21:16:02.054,0,1.25,0
0,1,48,2023-04-27 21:16:04.063,4,1.25,0
0,1,48,2023-04-27 21:16:07.067,4,1.25,0
0,1,50,2023-04-27 21:16:10.074,2,1.25,0
0,1,50,2023-04-27 21:16:13.071,2,1.25,0
0,1,50,2023-04-27 21:17:37.167,2,0,0
0,1,49,2023-04-27 21:17:39.167,3,0,0
0,1,50,2023-04-27 21:17:41.164,2,0,0
0,1,49,2023-04-27 21:17:44.176,3,0,0
0,1,51,2023-04-27 21:17:47.181,1,0,0
0,1,49,2023-04-27 21:20:16.325,3,0,0
0,1,50,2023-04-27 21:20:19.323,2,0,0
0,1,50,2023-04-27 21:20:22.332,2,0,0
0,1,50,2023-04-27 21:20:25.342,2,0,0
0,1,51,2023-04-27 21:25:04.625,1,0,0
0,1,49,2023-04-27 21:25:07.629,3,0,0
0,1,49,2023-04-27 21:25:10.633,3,0,0
0,1,49,2023-04-27 21:25:12.636,3,0,0
0,1,48,2023-04-27 21:25:14.636,4,0,0
0,1,50,2023-04-27 21:31:21.003,2,0,0
0,1,50,2023-04-27 21:31:24.013,2,0,0
0,1,51,2023-04-27 21:31:27.003,1,0,0
0,1,47,2023-04-27 21:31:29.02,5,0,0
0,1,50,2023-04-27 21:31:31.011,2,0,0
0,1,50,2023-04-27 21:31:34.02,2,0,0
0,1,50,2023-04-27 21:31:37.025,2,0,0
0,1,51,2023-04-27 21:31:39.033,1,0,0
